Productnaam,Toepassing,Omschrijving,Gangpad,Plank,Sectie,Categorie,Merk,Afmetingen,Specifieke Eigenschappen
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,9,Ooghoogte,A,Leidingen,Fischer,30mm,Roestbestendig
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",9,Ooghoogte,D,Verlichting,Gardena,300ml,Vochtbestendig
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,4,Laag,A,Tuinartikelen,Gardena,300ml,Gegalvaniseerd
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",3,Ooghoogte,B,Verf,Gamma,30mm,Vochtbestendig
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",9,Ooghoogte,D,Tuinartikelen,Tesa,Ø15mm,Warm licht
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,6,Ooghoogte,B,Gereedschap,Bosch,Ø15mm,Snel droog
Laminaat,Vloerbedekking,"Slijtvast laminaat voor woonruimtes, eikenkleur",9,Midden-laag,D,Verlichting,Tiger,5x50mm,Gegalvaniseerd
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,4,Ooghoogte,A,Gereedschap,Stanley,2440x1220,Inclusief accu
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,4,Midden-laag,C,Bevestiging,Black & Decker,5x50mm,Roestbestendig
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",2,Ooghoogte,C,Verlichting,Tiger,30mm,Roestbestendig
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",8,Laag,A,Sanitair,Tesa,Ø50mm,Weerbestendig
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,5,Laag,C,Gereedschap,Gardena,7W,Schimmelwerend
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",5,Laag,B,Tuinartikelen,Makita,4x40mm,Waterdicht
Verfroller,Schilderen,Grote verfroller met comfortabele grip,5,Ooghoogte,A,Leidingen,Fischer,2440x1220,Waterdicht
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",4,Ooghoogte,D,Sanitair,Tiger,5x50mm,Warm licht
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",4,Laag,B,Leidingen,Fischer,5x50mm,Schimmelwerend
Koperen pijp,Leidingen,"Koperen leiding voor waterinstallaties, Ø15mm",2,Laag,A,Verf,Philips,Ø15mm,Energiebesparend
Verfroller,Schilderen,Grote verfroller met comfortabele grip,1,Midden-laag,B,Hout,Tesa,5x50mm,Gegalvaniseerd
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",2,Hoog,A,Tuinartikelen,Gardena,300ml,Schimmelwerend
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,9,Hoog,D,Leidingen,Tesa,20 meter,Gegalvaniseerd
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",5,Midden-laag,D,Hout,Bosch,20 meter,Weerbestendig
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,7,Midden-laag,C,Hout,Bosch,18V,Gegalvaniseerd
Verfroller,Schilderen,Grote verfroller met comfortabele grip,2,Hoog,B,Sanitair,Gardena,300ml,Weerbestendig
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,2,Midden-laag,B,Leidingen,Makita,7W,Energiebesparend
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",9,Hoog,A,Vloerbedekking,Bosch,7W,Inclusief accu
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,8,Ooghoogte,B,Verlichting,Gardena,30mm,Snel droog
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,6,Midden-laag,A,Tuinartikelen,Fischer,Ø50mm,Roestbestendig
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,5,Hoog,D,Hout,Bosch,Ø15mm,Vochtbestendig
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,7,Laag,D,Verlichting,Stanley,5x50mm,Energiebesparend
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,1,Midden-laag,C,Gereedschap,Philips,2440x1220,Warm licht
Verfroller,Schilderen,Grote verfroller met comfortabele grip,2,Ooghoogte,D,Hout,Bosch,5x50mm,Warm licht
Torx schroeven,Bevestigen in hout,"Roestbestendige schroeven voor buitengebruik, torx",9,Hoog,A,Gereedschap,Black & Decker,20 meter,Gegalvaniseerd
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,1,Midden-laag,D,Vloerbedekking,Gamma,Ø50mm,Energiebesparend
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,1,Laag,D,Bevestiging,Gardena,20 meter,Waterdicht
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,10,Ooghoogte,B,Verlichting,Gamma,2440x1220,Snel droog
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",5,Ooghoogte,B,Leidingen,Bosch,5x50mm,Inclusief accu
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,5,Hoog,B,Gereedschap,Gamma,2440x1220,Warm licht
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,2,Midden-laag,B,Sanitair,Gardena,30mm,Gegalvaniseerd
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",7,Laag,B,Bevestiging,Black & Decker,5x50mm,Snel droog
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,6,Laag,D,Hout,Gamma,300ml,Roestbestendig
Kruiskop schroeven,Bevestigen in hout,"Gegalvaniseerde schroeven voor houtconstructies, kruiskop",2,Ooghoogte,C,Sanitair,Philips,4x40mm,Schimmelwerend
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",4,Laag,B,Sanitair,Tiger,5x50mm,Snel droog
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",10,Laag,B,Verf,Makita,300ml,Waterdicht
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,3,Laag,B,Sanitair,Gardena,Ø15mm,Gegalvaniseerd
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,10,Midden-laag,C,Gereedschap,Tesa,20 meter,Energiebesparend
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,3,Midden-laag,C,Gereedschap,Black & Decker,4x40mm,Weerbestendig
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",5,Hoog,D,Hout,Stanley,30mm,Inclusief accu
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",6,Ooghoogte,D,Gereedschap,Philips,20 meter,Warm licht
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,2,Ooghoogte,A,Sanitair,Tesa,20 meter,Snel droog
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",7,Laag,A,Bevestiging,Makita,5x50mm,Roestbestendig
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",10,Hoog,D,Bevestiging,Gamma,30mm,Energiebesparend
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",6,Hoog,C,Verlichting,Makita,5x50mm,Roestbestendig
Laminaat,Vloerbedekking,"Slijtvast laminaat voor woonruimtes, eikenkleur",1,Midden-laag,A,Sanitair,Bosch,18V,Inclusief accu
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,1,Midden-laag,B,Tuinartikelen,Tesa,30mm,Vochtbestendig
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,7,Midden-laag,C,Tuinartikelen,Fischer,18V,Snel droog
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,2,Laag,D,Sanitair,Makita,7W,Gegalvaniseerd
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",3,Laag,A,Tuinartikelen,Fischer,2440x1220,Energiebesparend
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,10,Midden-laag,D,Leidingen,Gamma,2440x1220,Energiebesparend
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",3,Midden-laag,D,Tuinartikelen,Black & Decker,4x40mm,Energiebesparend
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,4,Hoog,D,Bevestiging,Stanley,Ø50mm,Schimmelwerend
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,1,Midden-laag,A,Verf,Tesa,4x40mm,Weerbestendig
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,8,Ooghoogte,A,Bevestiging,Stanley,Ø50mm,Inclusief accu
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,9,Laag,C,Sanitair,Makita,20 meter,Gegalvaniseerd
Verfroller,Schilderen,Grote verfroller met comfortabele grip,7,Midden-laag,C,Sanitair,Gamma,30mm,Schimmelwerend
Koperen pijp,Leidingen,"Koperen leiding voor waterinstallaties, Ø15mm",7,Midden-laag,B,Leidingen,Gamma,300ml,Roestbestendig
Torx schroeven,Bevestigen in hout,"Roestbestendige schroeven voor buitengebruik, torx",4,Laag,C,Bevestiging,Tiger,2440x1220,Waterdicht
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,4,Hoog,C,Gereedschap,Tiger,20 meter,Inclusief accu
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,8,Hoog,B,Leidingen,Gardena,20 meter,Energiebesparend
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,7,Midden-laag,A,Verlichting,Stanley,20 meter,Weerbestendig
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",4,Laag,A,Bevestiging,Stanley,20 meter,Schimmelwerend
Verfroller,Schilderen,Grote verfroller met comfortabele grip,6,Ooghoogte,B,Tuinartikelen,Tesa,4x40mm,Warm licht
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,10,Hoog,C,Hout,Gamma,18V,Schimmelwerend
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,9,Hoog,B,Bevestiging,Bosch,18V,Gegalvaniseerd
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,6,Midden-laag,D,Vloerbedekking,Stanley,4x40mm,Warm licht
Verfroller,Schilderen,Grote verfroller met comfortabele grip,9,Hoog,D,Leidingen,Gardena,5x50mm,Snel droog
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",7,Ooghoogte,A,Verf,Gamma,5x50mm,Inclusief accu
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",8,Ooghoogte,D,Verf,Black & Decker,4x40mm,Roestbestendig
